regime,n,positive_count,negative_count,metric,reference,method,estimate,ci_low,ci_high,raw_p_value,holm_p_value,valid_bootstrap_replicates,status
undecidable-excluded,4057,28,4029,AP,S_C3_Q10,Current DerivCount,0.1470610599008878,0.08022173348150076,0.19708372986397563,0.00039996000399960006,0.001999800019998,10000,estimable
undecidable-excluded,4057,28,4029,Top-1% lift,S_C3_Q10,Current DerivCount,7.067944250871083,0.0,23.08861788617886,0.7603239676032397,1.0,10000,estimable
undecidable-excluded,4057,28,4029,Top-5% lift,S_C3_Q10,Current DerivCount,9.278852920478537,5.710063335679099,13.538375973303669,0.00019998000199980003,0.0013998600139986002,10000,estimable
undecidable-excluded,4057,28,4029,Top-10% lift,S_C3_Q10,Current DerivCount,6.066942294159043,4.207415089447757,7.872966114345425,0.00019998000199980003,0.0013998600139986002,10000,estimable
undecidable-excluded,4057,28,4029,AUROC,S_C3_Q10,Vanilla PageRank,0.07387068751551251,0.016538443041838838,0.1432370644595879,0.007999200079992,0.03999600039996,10000,estimable
undecidable-excluded,4057,28,4029,AP,S_C3_Q10,Vanilla PageRank,-0.08386695582295228,-0.18169398050843893,0.014787245963673736,0.10478952104789521,0.26277372262773724,10000,estimable
undecidable-excluded,4057,28,4029,Top-1% lift,S_C3_Q10,Vanilla PageRank,-3.5339721254355396,-18.324299909665765,6.184451219512198,0.5491450854914508,1.0,10000,estimable
undecidable-excluded,4057,28,4029,Top-5% lift,S_C3_Q10,Vanilla PageRank,2.855031667839551,0.0,6.869919950738916,0.10718928107189281,0.6431356864313569,10000,estimable
undecidable-excluded,4057,28,4029,Top-10% lift,S_C3_Q10,Vanilla PageRank,1.4275158339197755,0.30280638901328594,2.8550316678395493,0.04179582041795821,0.2495750424957504,10000,estimable
undecidable-excluded,4057,28,4029,AUROC,S_C3_Q10,Temporal Vanilla PageRank,0.08528791263340774,0.010254099649572083,0.17863396197672823,0.0081991800819918,0.03999600039996,10000,estimable
undecidable-excluded,4057,28,4029,AP,S_C3_Q10,Temporal Vanilla PageRank,-0.0882137164010377,-0.1869709799851513,0.011353113863835626,0.08759124087591241,0.26277372262773724,10000,estimable
undecidable-excluded,4057,28,4029,Top-1% lift,S_C3_Q10,Temporal Vanilla PageRank,-3.5339721254355396,-18.847851335656213,6.8242220353238,0.591940805919408,1.0,10000,estimable
undecidable-excluded,4057,28,4029,Top-5% lift,S_C3_Q10,Temporal Vanilla PageRank,2.855031667839551,0.0,6.837425182414158,0.10738926107389261,0.6431356864313569,10000,estimable
undecidable-excluded,4057,28,4029,Top-10% lift,S_C3_Q10,Temporal Vanilla PageRank,1.4275158339197755,0.30280638901328594,2.8550316678395493,0.0415958404159584,0.2495750424957504,10000,estimable
undecidable-excluded,4057,28,4029,AUROC,S_C3_Q10,Downloads,-0.00855405453320568,-0.01623672004691551,-0.000547284028313795,0.038196180381961806,0.07639236076392361,10000,estimable
undecidable-excluded,4057,28,4029,AP,S_C3_Q10,Downloads,-0.41263354146064474,-0.5597690317630909,-0.23360436807365825,0.00039996000399960006,0.001999800019998,10000,estimable
undecidable-excluded,4057,28,4029,Top-1% lift,S_C3_Q10,Downloads,-31.805749128919864,-49.47560975609757,-15.22326454033771,0.00039996000399960006,0.0027997200279972004,10000,estimable
undecidable-excluded,4057,28,4029,Top-5% lift,S_C3_Q10,Downloads,0.0,-3.4457278749787683,3.3308702791461418,1.0,1.0,10000,estimable
undecidable-excluded,4057,28,4029,Top-10% lift,S_C3_Q10,Downloads,0.0,0.0,0.0,1.0,1.0,10000,estimable
undecidable-excluded,4057,28,4029,AUROC,S_C3_Q10,Likes,0.028201787043931503,-0.011767457317555343,0.08679893722297223,0.2753724627537246,0.2753724627537246,10000,estimable
undecidable-excluded,4057,28,4029,AP,S_C3_Q10,Likes,-0.33556553730072664,-0.48646634880546524,-0.15811063047972723,0.00019998000199980003,0.0013998600139986002,10000,estimable
undecidable-excluded,4057,28,4029,Top-1% lift,S_C3_Q10,Likes,-28.271777003484317,-49.47560975609757,-13.6484440706476,0.00039996000399960006,0.0027997200279972004,10000,estimable
undecidable-excluded,4057,28,4029,Top-5% lift,S_C3_Q10,Likes,-0.7137579169598851,-2.2840253342716412,1.7378453630327684,0.9257074292570743,1.0,10000,estimable
undecidable-excluded,4057,28,4029,Top-10% lift,S_C3_Q10,Likes,1.0706368754398312,0.0,2.3791930565329578,0.10698930106989302,0.32096790320967905,10000,estimable
