regime,n,positive_count,negative_count,metric,left_method,right_method,left_estimate,right_estimate,difference,ci_low,ci_high,raw_p_value,valid_bootstrap_replicates,status,holm_p_value
confirmed-only,4057,28,4029,AUROC,Vanilla PageRank,Downloads,0.9046333723362763,0.9870581143849945,-0.08242474204871819,-0.15432385242840027,-0.021219276595376608,0.0011998800119988001,10000,estimable,0.019198080191980802
confirmed-only,4057,28,4029,AP,Vanilla PageRank,Downloads,0.35767204790248264,0.6864386335401751,-0.32876658563769245,-0.5043433747018344,-0.14653100560384483,0.0007999200079992001,10000,estimable,0.014398560143985602
confirmed-only,4057,28,4029,Top-1% lift,Vanilla PageRank,Downloads,38.87369337979094,67.14547038327527,-28.271777003484324,-45.35264227642276,-7.916097560975608,0.0103989601039896,10000,estimable,0.1975802419758024
confirmed-only,4057,28,4029,Top-5% lift,Vanilla PageRank,Downloads,13.56140042223786,16.41643209007741,-2.855031667839551,-7.091530271730495,0.6446845701573185,0.13758624137586242,10000,estimable,1.0
confirmed-only,4057,28,4029,Top-10% lift,Vanilla PageRank,Downloads,8.565095003518648,9.992610837438423,-1.4275158339197755,-2.8550316678395493,-0.30280638901328594,0.0413958604139586,10000,estimable,0.8693130686931306
confirmed-only,4057,28,4029,AUROC,Vanilla PageRank,Likes,0.9046333723362763,0.9503022728078573,-0.04566890047158101,-0.11981816545833657,0.024875948036809706,0.19718028197180282,10000,estimable,1.0
confirmed-only,4057,28,4029,AP,Vanilla PageRank,Likes,0.35767204790248264,0.609370629380257,-0.25169858147777435,-0.41133885147142196,-0.09711616390574686,0.0011998800119988001,10000,estimable,0.017998200179982
confirmed-only,4057,28,4029,Top-1% lift,Vanilla PageRank,Likes,38.87369337979094,63.61149825783972,-24.737804878048777,-42.40766550522649,-10.41591784338896,0.000999900009999,10000,estimable,0.021997800219978002
confirmed-only,4057,28,4029,Top-5% lift,Vanilla PageRank,Likes,13.56140042223786,17.130190007037296,-3.568789584799436,-6.6617405582922835,-0.8689226815163842,0.012398760123987601,10000,estimable,0.26037396260373963
confirmed-only,4057,28,4029,Top-10% lift,Vanilla PageRank,Likes,8.565095003518648,8.921973961998592,-0.35687895847994433,-1.9340537104719528,1.2490763546798025,0.8347165283471653,10000,estimable,1.0
confirmed-only,4057,28,4029,AUROC,Temporal Vanilla PageRank,Downloads,0.893216147218381,0.9870581143849945,-0.09384196716661342,-0.18782328921509994,-0.017001573927319234,0.0011998800119988001,10000,estimable,0.019198080191980802
confirmed-only,4057,28,4029,AP,Temporal Vanilla PageRank,Downloads,0.36201880848056806,0.6864386335401751,-0.32441982505960704,-0.49960627883817627,-0.14075241225614438,0.0007999200079992001,10000,estimable,0.014398560143985602
confirmed-only,4057,28,4029,Top-1% lift,Temporal Vanilla PageRank,Downloads,38.87369337979094,67.14547038327527,-28.271777003484324,-45.66979362101314,-7.611632270168855,0.0115988401159884,10000,estimable,0.1975802419758024
