method,mapping,domain,role,count,share,domain_n
Vanilla PageRank,submitted,NLP,Popular Leaf,0,0.0,230385
Vanilla PageRank,submitted,NLP,Hidden Root,205343,0.8913036873060312,230385
Vanilla PageRank,submitted,NLP,Long Tail,0,0.0,230385
Vanilla PageRank,submitted,RL/Robotics,Popular Root,330,0.06947368421052631,4750
Vanilla PageRank,submitted,RL/Robotics,Popular Leaf,0,0.0,4750
Vanilla PageRank,submitted,RL/Robotics,Hidden Root,4420,0.9305263157894736,4750
Vanilla PageRank,submitted,RL/Robotics,Long Tail,0,0.0,4750
Vanilla PageRank,crossmodal_reassigned,Audio,Popular Root,1671,0.09487310509282916,17613
Vanilla PageRank,crossmodal_reassigned,Audio,Popular Leaf,0,0.0,17613
Vanilla PageRank,crossmodal_reassigned,Audio,Hidden Root,15942,0.9051268949071708,17613
Vanilla PageRank,crossmodal_reassigned,Audio,Long Tail,0,0.0,17613
Vanilla PageRank,crossmodal_reassigned,CV,Popular Root,1537,0.08375565364285326,18351
Vanilla PageRank,crossmodal_reassigned,CV,Popular Leaf,0,0.0,18351
Vanilla PageRank,crossmodal_reassigned,CV,Hidden Root,16814,0.9162443463571468,18351
Vanilla PageRank,crossmodal_reassigned,CV,Long Tail,0,0.0,18351
Vanilla PageRank,crossmodal_reassigned,Multimodal,Popular Root,5951,0.0778559840912659,76436
Vanilla PageRank,crossmodal_reassigned,Multimodal,Popular Leaf,0,0.0,76436
Vanilla PageRank,crossmodal_reassigned,Multimodal,Hidden Root,70485,0.9221440159087341,76436
Vanilla PageRank,crossmodal_reassigned,Multimodal,Long Tail,0,0.0,76436
Vanilla PageRank,crossmodal_reassigned,NLP,Popular Root,25042,0.10869631269396879,230385
Vanilla PageRank,crossmodal_reassigned,NLP,Popular Leaf,0,0.0,230385
Vanilla PageRank,crossmodal_reassigned,NLP,Hidden Root,205343,0.8913036873060312,230385
Vanilla PageRank,crossmodal_reassigned,NLP,Long Tail,0,0.0,230385
Vanilla PageRank,crossmodal_reassigned,RL/Robotics,Popular Root,330,0.06947368421052631,4750
Vanilla PageRank,crossmodal_reassigned,RL/Robotics,Popular Leaf,0,0.0,4750
Vanilla PageRank,crossmodal_reassigned,RL/Robotics,Hidden Root,4420,0.9305263157894736,4750
Vanilla PageRank,crossmodal_reassigned,RL/Robotics,Long Tail,0,0.0,4750
Downloads,submitted,Audio,Popular Root,1671,0.09487310509282916,17613
Downloads,submitted,Audio,Popular Leaf,0,0.0,17613
Downloads,submitted,Audio,Hidden Root,0,0.0,17613
Downloads,submitted,Audio,Long Tail,15942,0.9051268949071708,17613
Downloads,submitted,CV,Popular Root,4658,0.05506365774945918,84593
Downloads,submitted,CV,Popular Leaf,0,0.0,84593
Downloads,submitted,CV,Hidden Root,0,0.0,84593
Downloads,submitted,CV,Long Tail,79935,0.9449363422505408,84593
Downloads,submitted,Multimodal,Popular Root,2830,0.2776142829115166,10194
Downloads,submitted,Multimodal,Popular Leaf,0,0.0,10194
Downloads,submitted,Multimodal,Hidden Root,0,0.0,10194
Downloads,submitted,Multimodal,Long Tail,7364,0.7223857170884834,10194
Downloads,submitted,NLP,Popular Root,25042,0.10869631269396879,230385
Downloads,submitted,NLP,Popular Leaf,0,0.0,230385
Downloads,submitted,NLP,Hidden Root,0,0.0,230385
Downloads,submitted,NLP,Long Tail,205343,0.8913036873060312,230385
Downloads,submitted,RL/Robotics,Popular Root,330,0.06947368421052631,4750
Downloads,submitted,RL/Robotics,Popular Leaf,0,0.0,4750
Downloads,submitted,RL/Robotics,Hidden Root,0,0.0,4750
Downloads,submitted,RL/Robotics,Long Tail,4420,0.9305263157894736,4750
Downloads,crossmodal_reassigned,Audio,Popular Root,1671,0.09487310509282916,17613
Downloads,crossmodal_reassigned,Audio,Popular Leaf,0,0.0,17613
Downloads,crossmodal_reassigned,Audio,Hidden Root,0,0.0,17613
Downloads,crossmodal_reassigned,Audio,Long Tail,15942,0.9051268949071708,17613
Downloads,crossmodal_reassigned,CV,Popular Root,1537,0.08375565364285326,18351
Downloads,crossmodal_reassigned,CV,Popular Leaf,0,0.0,18351
Downloads,crossmodal_reassigned,CV,Hidden Root,0,0.0,18351
Downloads,crossmodal_reassigned,CV,Long Tail,16814,0.9162443463571468,18351
Downloads,crossmodal_reassigned,Multimodal,Popular Root,5951,0.0778559840912659,76436
Downloads,crossmodal_reassigned,Multimodal,Popular Leaf,0,0.0,76436
Downloads,crossmodal_reassigned,Multimodal,Hidden Root,0,0.0,76436
Downloads,crossmodal_reassigned,Multimodal,Long Tail,70485,0.9221440159087341,76436
Downloads,crossmodal_reassigned,NLP,Popular Root,25042,0.10869631269396879,230385
Downloads,crossmodal_reassigned,NLP,Popular Leaf,0,0.0,230385
Downloads,crossmodal_reassigned,NLP,Hidden Root,0,0.0,230385
Downloads,crossmodal_reassigned,NLP,Long Tail,205343,0.8913036873060312,230385
Downloads,crossmodal_reassigned,RL/Robotics,Popular Root,330,0.06947368421052631,4750
Downloads,crossmodal_reassigned,RL/Robotics,Popular Leaf,0,0.0,4750
Downloads,crossmodal_reassigned,RL/Robotics,Hidden Root,0,0.0,4750
Downloads,crossmodal_reassigned,RL/Robotics,Long Tail,4420,0.9305263157894736,4750
Likes,submitted,Audio,Popular Root,1137,0.06455459035939363,17613
Likes,submitted,Audio,Popular Leaf,534,0.03031851473343553,17613
Likes,submitted,Audio,Hidden Root,1588,0.09016067677283825,17613
Likes,submitted,Audio,Long Tail,14354,0.8149662181343326,17613
Likes,submitted,CV,Popular Root,3401,0.040204272221105765,84593
Likes,submitted,CV,Popular Leaf,1257,0.01485938552835341,84593
Likes,submitted,CV,Hidden Root,10626,0.1256132304091355,84593
Likes,submitted,CV,Long Tail,69309,0.8193231118414053,84593
Likes,submitted,Multimodal,Popular Root,2070,0.20306062389640966,10194
Likes,submitted,Multimodal,Popular Leaf,760,0.07455365901510692,10194
Likes,submitted,Multimodal,Hidden Root,1409,0.13821855993721796,10194
Likes,submitted,Multimodal,Long Tail,5955,0.5841671571512654,10194
Likes,submitted,NLP,Popular Root,16335,0.07090305358421772,230385
Likes,submitted,NLP,Popular Leaf,8707,0.03779325910975107,230385
Likes,submitted,NLP,Hidden Root,25943,0.1126071575840441,230385
Likes,submitted,NLP,Long Tail,179400,0.7786965297219871,230385
Likes,submitted,RL/Robotics,Popular Root,156,0.032842105263157895,4750
Likes,submitted,RL/Robotics,Popular Leaf,174,0.03663157894736842,4750
Likes,submitted,RL/Robotics,Hidden Root,176,0.03705263157894737,4750
Likes,submitted,RL/Robotics,Long Tail,4244,0.8934736842105263,4750
Likes,crossmodal_reassigned,Audio,Popular Root,1137,0.06455459035939363,17613
Likes,crossmodal_reassigned,Audio,Popular Leaf,534,0.03031851473343553,17613
Likes,crossmodal_reassigned,Audio,Hidden Root,1588,0.09016067677283825,17613
Likes,crossmodal_reassigned,Audio,Long Tail,14354,0.8149662181343326,17613
