scheme,month,metric,family,statistic,method,value,candidate_n,base_value
primary,2025-06,future_child_like_quality_sum_3m,descendant_quality,lift,EventValue_time_safe_typed,1.5087460304655014,496939,0.0030899828878572675
primary,2025-06,future_child_like_quality_sum_3m,descendant_quality,lift,No child quality,2.5814887770404242,496939,0.0030899828878572675
primary,2025-06,future_child_like_quality_sum_3m,descendant_quality,lift,No type weight,2.586002817330548,496939,0.0030899828878572675
primary,2025-06,future_child_like_quality_sum_3m,descendant_quality,lift,No parent size,2.5291937895526035,496939,0.0030899828878572675
primary,2025-06,future_child_like_quality_sum_3m,descendant_quality,lift,No quality teleport,2.446219477060072,496939,0.0030899828878572675
primary,2025-06,future_child_like_quality_sum_3m,descendant_quality,lift,No PageRank propagation,2.465230177188071,496939,0.0030899828878572675
primary,2025-06,future_child_like_quality_sum_3m,descendant_quality,lift,No temporal inheritance,2.4799596459640627,496939,0.0030899828878572675
primary,2025-06,future_child_like_quality_sum_3m,descendant_quality,lift,No event injection,2.517525164675891,496939,0.0030899828878572675
primary,2025-06,future_child_like_quality_sum_3m,descendant_quality,lift,S_D_000,2.4799596459640627,496939,0.0030899828878572675
primary,2025-06,future_child_like_quality_sum_3m,descendant_quality,lift,S_D_025,2.588223062024201,496939,0.0030899828878572675
primary,2025-06,future_child_like_quality_sum_3m,descendant_quality,lift,S_D_050,2.631489968931776,496939,0.0030899828878572675
primary,2025-06,future_child_like_quality_sum_3m,descendant_quality,lift,S_D_065,2.6630882509626375,496939,0.0030899828878572675
primary,2025-06,future_child_like_quality_sum_3m,descendant_quality,lift,S_D_075,2.6928130369998415,496939,0.0030899828878572675
primary,2025-06,future_child_like_quality_sum_3m,descendant_quality,lift,S_D_090,2.708228653863867,496939,0.0030899828878572675
primary,2025-06,future_child_like_quality_sum_3m,descendant_quality,lift,S_D_095,2.7172567344441134,496939,0.0030899828878572675
primary,2025-06,future_child_like_quality_sum_3m,descendant_quality,lift,S_D_099,2.7172567344441134,496939,0.0030899828878572675
primary,2025-06,future_child_like_quality_sum_3m,descendant_quality,lift,S_MEM_01,2.4799596459640627,496939,0.0030899828878572675
primary,2025-06,future_child_like_quality_sum_3m,descendant_quality,lift,S_MEM_03,2.714350341662426,496939,0.0030899828878572675
primary,2025-06,future_child_like_quality_sum_3m,descendant_quality,lift,S_MEM_06,2.730533006829262,496939,0.0030899828878572675
primary,2025-06,future_child_like_quality_sum_3m,descendant_quality,lift,S_MEM_12,2.703714613573745,496939,0.0030899828878572675
primary,2025-06,future_child_like_quality_sum_3m,descendant_quality,lift,S_Q_000,1.779357840377934,496939,0.0030899828878572675
primary,2025-06,future_child_like_quality_sum_3m,descendant_quality,lift,S_Q_005,2.703714613573745,496939,0.0030899828878572675
primary,2025-06,future_child_like_quality_sum_3m,descendant_quality,lift,S_Q_015,2.703714613573745,496939,0.0030899828878572675
primary,2025-06,future_child_like_quality_sum_3m,descendant_quality,lift,S_Q_020,2.703714613573745,496939,0.0030899828878572675
primary,2025-06,future_child_like_quality_sum_3m,descendant_quality,lift,S_Q_030,2.703714613573745,496939,0.0030899828878572675
primary,2025-06,future_child_like_quality_sum_3m,descendant_quality,lift,S_Q_040,2.703714613573745,496939,0.0030899828878572675
primary,2025-06,future_child_like_quality_sum_3m,descendant_quality,lift,S_Q_050,2.703714613573745,496939,0.0030899828878572675
primary,2025-06,future_child_like_quality_sum_3m,descendant_quality,lift,S_Q_060,2.703714613573745,496939,0.0030899828878572675
primary,2025-06,future_child_like_quality_sum_3m,descendant_quality,lift,S_Q_070,2.703714613573745,496939,0.0030899828878572675
primary,2025-06,future_child_like_quality_sum_3m,descendant_quality,lift,S_Q_080,2.703714613573745,496939,0.0030899828878572675
primary,2025-06,future_child_like_quality_sum_3m,descendant_quality,lift,S_Q_090,2.703714613573745,496939,0.0030899828878572675
primary,2025-06,future_child_like_quality_sum_3m,descendant_quality,lift,S_Q_100,2.685658452413252,496939,0.0030899828878572675
primary,2025-06,future_child_like_quality_sum_3m,descendant_quality,lift,S_WD_000,2.8031213374591655,496939,0.0030899828878572675
primary,2025-06,future_child_like_quality_sum_3m,descendant_quality,lift,S_WD_025,2.828332083206247,496939,0.0030899828878572675
primary,2025-06,future_child_like_quality_sum_3m,descendant_quality,lift,S_WD_075,2.5278358882702214,496939,0.0030899828878572675
primary,2025-06,future_child_like_quality_sum_3m,descendant_quality,lift,S_WD_100,2.5011719461322954,496939,0.0030899828878572675
primary,2025-06,future_high_download_child_count_3m,descendant_quality,lift,S_C3_Q10,3.009112485737944,496939,0.0019861592670327747
primary,2025-06,future_high_download_child_count_3m,descendant_quality,lift,AllTime DerivCount,3.3029315500019183,496939,0.0019861592670327747
primary,2025-06,future_high_download_child_count_3m,descendant_quality,lift,Current DerivCount,2.58358142714874,496939,0.0019861592670327747
primary,2025-06,future_high_download_child_count_3m,descendant_quality,lift,Vanilla PageRank,3.3029315500019183,496939,0.0019861592670327747
primary,2025-06,future_high_download_child_count_3m,descendant_quality,lift,Downloads,1.783177769326189,496939,0.0019861592670327747
primary,2025-06,future_high_download_child_count_3m,descendant_quality,lift,Likes,2.816610340185685,496939,0.0019861592670327747
primary,2025-06,future_high_download_child_count_3m,descendant_quality,lift,MTPR_time_safe_typed,3.009112485737944,496939,0.0019861592670327747
