model_id,Downloads,Likes,S_C3_Q10,role,month,download_p90,modelrank_p90
google/codegemma-1.1-2b,348.0,17.0,24.018591885199804,Popular Root,2025-05,29.0,0.1877114771442029
google/codegemma-1.1-2b,1743.0,18.0,16.11985902918062,Popular Root,2025-06,73.0,0.1671328586157394
google/codegemma-1.1-2b,1788.0,19.0,0.7790374400331876,Popular Root,2025-07,46.0,0.1616196593713486
google/codegemma-1.1-2b,2335.0,20.0,0.8604931861104941,Popular Root,2025-08,37.0,0.1789208319783163
google/codegemma-1.1-2b,1424.0,20.0,23.40886091681938,Popular Root,2025-09,56.0,0.1745556870024762
google/codegemma-1.1-2b,197.0,20.0,1.2464875055996019,Popular Root,2025-10,56.0,0.2497182525588382
google/codegemma-1.1-2b,148.0,20.0,23.57358284287891,Popular Root,2025-11,89.0,0.1764457011105828
google/codegemma-1.1-2b,92.0,20.0,0.708180202178301,Popular Root,2025-12,55.0,0.1615341957713476
google/codegemma-1.1-2b,121.0,21.0,1.0264612939740982,Popular Root,2026-01,30.0,0.1954875292731835
google/codegemma-1.1-2b,115.0,21.0,1.2165041067838034,Popular Root,2026-02,45.0,0.2434687593373653
google/timesfm-2.0-500m-pytorch,0.0,5.0,0.06307025692939665,Long Tail,2024-12,51.0,0.1918775380863641
google/timesfm-2.0-500m-pytorch,0.0,111.0,0.1563196045737563,Long Tail,2025-01,119.0,0.1811518922358358
google/timesfm-2.0-500m-pytorch,0.0,136.0,13.02053642629498,Hidden Root,2025-02,111.0,0.1825346650438559
google/timesfm-2.0-500m-pytorch,0.0,150.0,0.24727545723611813,Hidden Root,2025-03,61.0,0.1913654759481211
google/timesfm-2.0-500m-pytorch,0.0,156.0,0.32839092228783456,Hidden Root,2025-04,48.0,0.2265555325290591
google/timesfm-2.0-500m-pytorch,4225.0,171.0,0.612994891611764,Popular Root,2025-05,29.0,0.1877114771442029
google/timesfm-2.0-500m-pytorch,5681.0,182.0,0.48114572372579434,Popular Root,2025-06,73.0,0.1671328586157394
google/timesfm-2.0-500m-pytorch,6259.0,190.0,0.5200382258120051,Popular Root,2025-07,46.0,0.1616196593713486
google/timesfm-2.0-500m-pytorch,12744.0,206.0,0.623110143262553,Popular Root,2025-08,37.0,0.1789208319783163
google/timesfm-2.0-500m-pytorch,9218.0,226.0,0.5475951738068622,Popular Root,2025-09,56.0,0.1745556870024762
google/timesfm-2.0-500m-pytorch,10567.0,227.0,0.8422823675171042,Popular Root,2025-10,56.0,0.2497182525588382
google/timesfm-2.0-500m-pytorch,6752.0,228.0,0.5148103944434814,Popular Root,2025-11,89.0,0.1764457011105828
google/timesfm-2.0-500m-pytorch,8489.0,230.0,0.4932196398128426,Popular Root,2025-12,55.0,0.1615341957713476
google/timesfm-2.0-500m-pytorch,7308.0,232.0,0.7145085003840872,Popular Root,2026-01,30.0,0.1954875292731835
google/timesfm-2.0-500m-pytorch,9447.0,238.0,0.832031588739238,Popular Root,2026-02,45.0,0.2434687593373653
meta-llama/Llama-2-7b,0.0,4002.0,31.88018790292182,Hidden Root,2024-07,219.0,1.8558965922405413
meta-llama/Llama-2-7b,0.0,4045.0,64.11143650972376,Hidden Root,2024-08,116.0,0.2308944160471986
meta-llama/Llama-2-7b,0.0,4083.0,38.93360675747479,Hidden Root,2024-09,100.0,0.2475988486003169
meta-llama/Llama-2-7b,0.0,4138.0,129.629037286061,Hidden Root,2024-10,75.0,0.238593793034825
meta-llama/Llama-2-7b,0.0,4181.0,88.01822053575916,Hidden Root,2024-11,82.0,0.2028459520811253
meta-llama/Llama-2-7b,0.0,4206.0,119.42568875270322,Hidden Root,2024-12,51.0,0.1918775380863641
meta-llama/Llama-2-7b,0.0,4234.0,50.220058328026106,Hidden Root,2025-01,119.0,0.1811518922358358
meta-llama/Llama-2-7b,0.0,4270.0,29.91213808538911,Hidden Root,2025-02,111.0,0.1825346650438559
meta-llama/Llama-2-7b,0.0,4297.0,63.81339217448326,Hidden Root,2025-03,61.0,0.1913654759481211
