family,metric,statistic,method,mean,count
descendant_quality,future_child_download_quality_median_3m,lift,No child quality,4.0722639478607725,6
descendant_quality,future_child_download_quality_median_3m,lift,No event injection,3.981726442131539,6
descendant_quality,future_child_download_quality_median_3m,lift,No parent size,3.991486844187167,6
descendant_quality,future_child_download_quality_median_3m,lift,No quality teleport,3.8286269149459184,6
descendant_quality,future_child_download_quality_median_3m,lift,No temporal inheritance,3.990568966221557,6
descendant_quality,future_child_download_quality_median_3m,lift,No type weight,4.064070712829893,6
descendant_quality,future_child_download_quality_median_3m,lift,No-Propagation ModelRank,3.9950354042864658,6
descendant_quality,future_child_download_quality_median_3m,lift,S_C3_Q10,4.2710594931602595,6
descendant_quality,future_child_download_quality_median_3m,lift,S_D_000,3.9950354042864658,6
descendant_quality,future_child_download_quality_median_3m,lift,S_D_025,4.2799785115410645,6
descendant_quality,future_child_download_quality_median_3m,lift,S_D_050,4.280504264377309,6
descendant_quality,future_child_download_quality_median_3m,lift,S_D_065,4.27027337030558,6
descendant_quality,future_child_download_quality_median_3m,lift,S_D_075,4.268393471598123,6
descendant_quality,future_child_download_quality_median_3m,lift,S_D_090,4.279113905473108,6
descendant_quality,future_child_download_quality_median_3m,lift,S_D_095,4.2858812059840465,6
descendant_quality,future_child_download_quality_median_3m,lift,S_D_099,4.288751472103967,6
descendant_quality,future_child_download_quality_median_3m,lift,S_MEM_01,3.9950354042864666,6
descendant_quality,future_child_download_quality_median_3m,lift,S_MEM_03,4.316268659777907,6
descendant_quality,future_child_download_quality_median_3m,lift,S_MEM_06,4.3737944969637015,6
descendant_quality,future_child_download_quality_median_3m,lift,S_MEM_12,4.298638132053566,6
descendant_quality,future_child_download_quality_median_3m,lift,S_Q_000,2.579474867917105,6
descendant_quality,future_child_download_quality_median_3m,lift,S_Q_005,4.271059493160261,6
descendant_quality,future_child_download_quality_median_3m,lift,S_Q_015,4.271059493160261,6
descendant_quality,future_child_download_quality_median_3m,lift,S_Q_020,4.27105949316026,6
descendant_quality,future_child_download_quality_median_3m,lift,S_Q_030,4.27105949316026,6
descendant_quality,future_child_download_quality_median_3m,lift,S_Q_040,4.27105949316026,6
descendant_quality,future_child_download_quality_median_3m,lift,S_Q_050,4.27105949316026,6
descendant_quality,future_child_download_quality_median_3m,lift,S_Q_060,4.27105949316026,6
descendant_quality,future_child_download_quality_median_3m,lift,S_Q_070,4.271059493160261,6
descendant_quality,future_child_download_quality_median_3m,lift,S_Q_080,4.27105949316026,6
descendant_quality,future_child_download_quality_median_3m,lift,S_Q_090,4.270159534862251,6
descendant_quality,future_child_download_quality_median_3m,lift,S_Q_100,4.23960179187315,6
descendant_quality,future_child_download_quality_median_3m,lift,S_WD_000,4.29950097036302,6
descendant_quality,future_child_download_quality_median_3m,lift,S_WD_025,4.519813010690428,6
descendant_quality,future_child_download_quality_median_3m,lift,S_WD_075,4.1265594236879615,6
descendant_quality,future_child_download_quality_median_3m,lift,S_WD_100,4.055845201252212,6
descendant_quality,future_child_download_quality_median_3m,lift,Simplified_MTPR_time_safe_typed,3.9375992992360165,6
descendant_quality,future_child_download_quality_median_3m,lift,Vanilla PageRank,4.010329580180849,6
descendant_quality,future_child_download_quality_sum_3m,lift,AllTime DerivCount,3.821236296432115,6
descendant_quality,future_child_download_quality_sum_3m,lift,Current DerivCount,2.6040754260243015,6
descendant_quality,future_child_download_quality_sum_3m,lift,Downloads,2.6298706223633252,6
descendant_quality,future_child_download_quality_sum_3m,lift,EventValue_time_safe_typed,2.6040754260243015,6
descendant_quality,future_child_download_quality_sum_3m,lift,Likes,3.624334898966266,6
descendant_quality,future_child_download_quality_sum_3m,lift,MTPR_time_safe_typed,3.831234567687684,6
descendant_quality,future_child_download_quality_sum_3m,lift,No PageRank propagation,3.703260118820021,6
descendant_quality,future_child_download_quality_sum_3m,lift,No child quality,3.868339137924096,6
descendant_quality,future_child_download_quality_sum_3m,lift,No event injection,3.791651030041512,6
descendant_quality,future_child_download_quality_sum_3m,lift,No parent size,3.7988443819026396,6
descendant_quality,future_child_download_quality_sum_3m,lift,No quality teleport,3.690622096235456,6
descendant_quality,future_child_download_quality_sum_3m,lift,No temporal inheritance,3.8053529075804815,6
descendant_quality,future_child_download_quality_sum_3m,lift,No type weight,3.8566302237370533,6
descendant_quality,future_child_download_quality_sum_3m,lift,No-Propagation ModelRank,3.8111046136222586,6
descendant_quality,future_child_download_quality_sum_3m,lift,S_C3_Q10,4.075890438533829,6
descendant_quality,future_child_download_quality_sum_3m,lift,S_D_000,3.8111046136222586,6
descendant_quality,future_child_download_quality_sum_3m,lift,S_D_025,4.0889534877525255,6
descendant_quality,future_child_download_quality_sum_3m,lift,S_D_050,4.097586965479844,6
descendant_quality,future_child_download_quality_sum_3m,lift,S_D_065,4.081875071062414,6
descendant_quality,future_child_download_quality_sum_3m,lift,S_D_075,4.073283186142807,6
descendant_quality,future_child_download_quality_sum_3m,lift,S_D_090,4.075665664091843,6
descendant_quality,future_child_download_quality_sum_3m,lift,S_D_095,4.082094627324534,6
descendant_quality,future_child_download_quality_sum_3m,lift,S_D_099,4.08148393034261,6
descendant_quality,future_child_download_quality_sum_3m,lift,S_MEM_01,3.8111046136222586,6
descendant_quality,future_child_download_quality_sum_3m,lift,S_MEM_03,4.076384596059149,6
descendant_quality,future_child_download_quality_sum_3m,lift,S_MEM_06,4.163231824450414,6
descendant_quality,future_child_download_quality_sum_3m,lift,S_MEM_12,4.125453217939536,6
descendant_quality,future_child_download_quality_sum_3m,lift,S_Q_000,2.8231784126653476,6
descendant_quality,future_child_download_quality_sum_3m,lift,S_Q_005,4.075890438533829,6
descendant_quality,future_child_download_quality_sum_3m,lift,S_Q_015,4.075890438533829,6
descendant_quality,future_child_download_quality_sum_3m,lift,S_Q_020,4.075890438533829,6
descendant_quality,future_child_download_quality_sum_3m,lift,S_Q_030,4.075890438533829,6
descendant_quality,future_child_download_quality_sum_3m,lift,S_Q_040,4.075890438533829,6
descendant_quality,future_child_download_quality_sum_3m,lift,S_Q_050,4.075890438533829,6
descendant_quality,future_child_download_quality_sum_3m,lift,S_Q_060,4.075890438533829,6
descendant_quality,future_child_download_quality_sum_3m,lift,S_Q_070,4.075890438533829,6
descendant_quality,future_child_download_quality_sum_3m,lift,S_Q_080,4.075890438533829,6
descendant_quality,future_child_download_quality_sum_3m,lift,S_Q_090,4.075476700626589,6
descendant_quality,future_child_download_quality_sum_3m,lift,S_Q_100,4.053577802917027,6
descendant_quality,future_child_download_quality_sum_3m,lift,S_WD_000,4.0008404308253995,6
descendant_quality,future_child_download_quality_sum_3m,lift,S_WD_025,4.242253328582202,6
descendant_quality,future_child_download_quality_sum_3m,lift,S_WD_075,3.9896481321455775,6
descendant_quality,future_child_download_quality_sum_3m,lift,S_WD_100,3.9152812011655893,6
descendant_quality,future_child_download_quality_sum_3m,lift,Simplified_MTPR_time_safe_typed,3.7652404427352137,6
