month,percentile,threshold_rule,n,pr_n,pr_share,pl_n,pl_share,hr_n,hr_share,lt_n,lt_share,effect_status,hr_median_desc_breadth,pl_median_desc_breadth,mann_whitney_u,p_value,signed_rank_biserial,absolute_rank_biserial,download_boundary,modelrank_boundary,download_boundary_tie_n,modelrank_boundary_tie_n,download_high_n,modelrank_high_n,exact_modelrank
2025-03,0.8,percentile_with_ties,467627,76134,0.1628092475413096,17618,0.0376753267026925,18062,0.0386248013908521,355813,0.7608906243651458,estimable,1.0,0.0,307089696.5,0.0,-0.9300688309143772,0.9300688309143772,14.0,0.1202044155147602,2470,759,93752,94196,False
2025-03,0.85,percentile_with_ties,467627,50858,0.1087576209243692,20007,0.0427840992928124,19395,0.0414753639118357,377367,0.8069829158709826,estimable,1.0,0.0,377541939.5,0.0,-0.9459131015925812,0.9459131015925812,29.0,0.1488088486478161,916,150,70865,70253,False
2025-03,0.9,percentile_with_ties,467627,29288,0.0626311141144544,17692,0.0378335724840524,17512,0.0374486503131769,403135,0.8620866630883162,estimable,2.0,0.0,304566175.0,0.0,-0.9660700412324092,0.9660700412324092,61.0,0.1913654759481211,380,38,46980,46800,False
2025-03,0.95,percentile_with_ties,467627,10713,0.0229092845366071,12720,0.027201166741869,12669,0.0270921054601209,431525,0.9227974432614028,estimable,2.0,0.0,160392319.0,0.0,-0.9906005274102934,0.9906005274102934,216.0,0.3177456164042713,72,0,23433,23382,False
2025-04,0.5,percentile_with_ties,499532,499532,1.0,0,0.0,0,0.0,0,0.0,not_estimable_empty_group,,,,,,,0.0,0.0,262485,251250,499532,499532,False
2025-04,0.7,percentile_with_ties,499532,138028,0.2763146304941425,16902,0.0338356701872953,13888,0.0278020226932408,330714,0.6620476766253213,estimable,1.0,0.0,215853620.0,0.0,-0.8391261811788968,0.8391261811788968,4.0,0.0845373232891093,12852,6200,154930,151916,False
2025-04,0.8,percentile_with_ties,499532,82395,0.1649443879471185,20873,0.0417851108637684,18469,0.0369726063595525,377795,0.7562978948295604,estimable,1.0,0.0,372149720.5,0.0,-0.930720635831841,0.930720635831841,10.0,0.1380660685781128,4275,1284,103268,100864,False
2025-04,0.85,percentile_with_ties,499532,54068,0.1082373101222744,21394,0.0428280870895157,21065,0.0421694706245045,403005,0.8067651321637053,estimable,2.0,0.0,437823487.0,0.0,-0.9430125076828196,0.9430125076828196,21.0,0.1748757296924748,1474,252,75462,75133,False
2025-04,0.9,percentile_with_ties,499532,31457,0.0629729426743431,18502,0.037038668193429,18518,0.0370706981734903,431055,0.8629176909587374,estimable,2.0,0.0,336339736.0,0.0,-0.963339563714248,0.963339563714248,48.0,0.2265555325290591,621,87,49959,49975,False
2025-04,0.95,percentile_with_ties,499532,11105,0.022230808036322,13874,0.0277739964606872,13874,0.0277739964606872,460679,0.9222211990423036,estimable,3.0,0.0,191529727.0,0.0,-0.9900445781842384,0.9900445781842384,173.0,0.3522284686906403,96,3,24979,24979,False
